,case:Rfp_id
0,request for payment 73550
1,request for payment 73552
2,request for payment 76316
3,request for payment 73536
4,request for payment 185372
5,request for payment 76195
6,request for payment 73737
7,request for payment 77107
8,request for payment 185391
9,request for payment 76211
10,request for payment 76213
11,request for payment 77877
12,request for payment 185377
13,request for payment 185342
14,request for payment 76396
15,request for payment 73039
16,request for payment 76424
17,request for payment 73258
18,request for payment 76579
19,request for payment 185354
20,request for payment 74097
21,request for payment 72603
22,request for payment 77902
23,request for payment 73897
24,request for payment 76930
25,request for payment 76934
26,request for payment 76932
27,request for payment 76936
28,request for payment 72937
29,request for payment 72939
30,request for payment 76710
31,request for payment 76712
32,request for payment 74133
33,request for payment 76972
34,request for payment 73932
35,request for payment 73955
36,request for payment 185385
37,request for payment 76613
38,request for payment 76622
39,request for payment 76250
40,request for payment 76252
41,request for payment 76248
42,request for payment 75827
43,request for payment 75830
44,request for payment 74504
45,request for payment 74521
46,request for payment 74519
47,request for payment 76648
48,request for payment 76650
49,request for payment 74547
50,request for payment 74020
51,request for payment 74017
52,request for payment 75931
53,request for payment 73308
54,request for payment 73190
55,request for payment 73192
56,request for payment 75959
57,request for payment 75961
58,request for payment 73216
59,request for payment 77824
60,request for payment 77284
61,request for payment 77286
62,request for payment 74581
63,request for payment 74579
64,request for payment 73444
65,request for payment 74209
66,request for payment 76758
67,request for payment 74846
68,request for payment 74876
69,request for payment 75369
70,request for payment 75241
71,request for payment 74388
72,request for payment 72154
73,request for payment 72156
74,request for payment 73337
75,request for payment 73339
76,request for payment 185346
77,request for payment 72553
78,request for payment 76484
79,request for payment 76482
80,request for payment 74724
81,request for payment 73484
82,request for payment 75387
83,request for payment 75389
84,request for payment 74438
85,request for payment 74420
86,request for payment 74417
87,request for payment 185340
88,request for payment 74906
89,request for payment 74454
90,request for payment 74947
91,request for payment 77075
92,request for payment 77073
93,request for payment 71975
94,request for payment 71973
95,request for payment 71978
96,request for payment 76693
97,request for payment 73510
98,request for payment 72009
99,request for payment 72006
100,request for payment 77547
101,request for payment 185368
102,request for payment 185350
103,request for payment 74787
104,request for payment 77914
105,request for payment 77953
106,request for payment 77951
107,request for payment 78106
108,request for payment 78108
109,request for payment 78122
110,request for payment 77977
111,request for payment 72883
112,request for payment 73111
113,request for payment 73141
114,request for payment 75155
115,request for payment 73358
116,request for payment 73355
117,request for payment 185334
118,request for payment 73399
119,request for payment 73397
120,request for payment 75287
121,request for payment 72081
122,request for payment 75321
123,request for payment 75339
124,request for payment 75337
125,request for payment 75334
126,request for payment 75543
127,request for payment 72280
128,request for payment 72357
