,case:Rfp_id,concept:name,time:timestamp_end,org:role,event:id,time:timestamp_start
0,request for payment 73550,Permit SUBMITTED by EMPLOYEE,2017-01-09 14:48:43+00:00,EMPLOYEE,0,2017-01-09 14:48:43+00:00
1,request for payment 73550,Permit FINAL_APPROVED by SUPERVISOR,2017-01-09 14:48:55+00:00,SUPERVISOR,1,2017-01-09 14:48:43+00:00
2,request for payment 73550,Request For Payment SUBMITTED by EMPLOYEE,2017-01-12 11:40:27+00:00,EMPLOYEE,2,2017-01-09 14:48:55+00:00
3,request for payment 73550,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-12 11:41:59+00:00,SUPERVISOR,3,2017-01-12 11:40:27+00:00
4,request for payment 73550,Request For Payment REJECTED by MISSING,2017-01-12 11:53:07+00:00,MISSING,4,2017-01-12 11:41:59+00:00
5,request for payment 73550,Permit REJECTED by MISSING,2017-07-28 10:10:18+00:00,MISSING,5,2017-01-12 11:53:07+00:00
6,request for payment 73552,Permit SUBMITTED by EMPLOYEE,2017-01-09 14:48:43+00:00,EMPLOYEE,0,2017-01-09 14:48:43+00:00
7,request for payment 73552,Permit FINAL_APPROVED by SUPERVISOR,2017-01-09 14:48:55+00:00,SUPERVISOR,1,2017-01-09 14:48:43+00:00
8,request for payment 73552,Request For Payment SUBMITTED by EMPLOYEE,2017-01-19 18:47:18+00:00,EMPLOYEE,2,2017-01-09 14:48:55+00:00
9,request for payment 73552,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-19 18:47:21+00:00,SUPERVISOR,3,2017-01-19 18:47:18+00:00
10,request for payment 73552,Request Payment,2017-01-23 14:43:35+00:00,UNDEFINED,6,2017-01-19 18:47:21+00:00
11,request for payment 73552,Payment Handled,2017-01-26 17:30:47+00:00,UNDEFINED,7,2017-01-23 14:43:35+00:00
12,request for payment 73552,Permit REJECTED by MISSING,2017-07-28 10:10:18+00:00,MISSING,5,2017-01-26 17:30:47+00:00
13,request for payment 76316,Permit SUBMITTED by EMPLOYEE,2017-01-10 11:19:16+00:00,EMPLOYEE,0,2017-01-10 11:19:16+00:00
14,request for payment 76316,Permit APPROVED by SUPERVISOR,2017-01-10 11:19:23+00:00,SUPERVISOR,8,2017-01-10 11:19:16+00:00
15,request for payment 76316,Permit FINAL_APPROVED by DIRECTOR,2017-01-10 14:56:18+00:00,DIRECTOR,9,2017-01-10 11:19:23+00:00
16,request for payment 76316,Request For Payment SUBMITTED by EMPLOYEE,2017-01-30 12:37:40+00:00,EMPLOYEE,2,2017-01-10 14:56:18+00:00
17,request for payment 76316,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-30 12:40:57+00:00,SUPERVISOR,3,2017-01-30 12:37:40+00:00
18,request for payment 76316,Request Payment,2017-02-01 10:40:00+00:00,UNDEFINED,6,2017-01-30 12:40:57+00:00
19,request for payment 76316,Payment Handled,2017-02-06 17:31:45+00:00,UNDEFINED,7,2017-02-01 10:40:00+00:00
20,request for payment 73536,Permit SUBMITTED by EMPLOYEE,2017-01-10 11:34:01+00:00,EMPLOYEE,0,2017-01-10 11:34:01+00:00
21,request for payment 73536,Permit APPROVED by SUPERVISOR,2017-01-10 11:34:09+00:00,SUPERVISOR,8,2017-01-10 11:34:01+00:00
22,request for payment 73536,Permit FINAL_APPROVED by DIRECTOR,2017-01-12 10:56:40+00:00,DIRECTOR,9,2017-01-10 11:34:09+00:00
23,request for payment 73536,Request For Payment SUBMITTED by EMPLOYEE,2017-01-13 11:23:25+00:00,EMPLOYEE,2,2017-01-12 10:56:40+00:00
24,request for payment 73536,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-13 11:24:18+00:00,SUPERVISOR,3,2017-01-13 11:23:25+00:00
25,request for payment 73536,Request Payment,2017-01-18 11:02:30+00:00,UNDEFINED,6,2017-01-13 11:24:18+00:00
26,request for payment 73536,Payment Handled,2017-01-23 17:32:19+00:00,UNDEFINED,7,2017-01-18 11:02:30+00:00
27,request for payment 73536,Permit REJECTED by MISSING,2017-02-24 12:50:45+00:00,MISSING,5,2017-01-23 17:32:19+00:00
28,request for payment 185372,Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 17:10:10+00:00,EMPLOYEE,2,2017-01-10 17:10:10+00:00
29,request for payment 185372,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-10 17:15:32+00:00,SUPERVISOR,3,2017-01-10 17:10:10+00:00
30,request for payment 185372,Request For Payment REJECTED by MISSING,2017-01-20 10:12:42+00:00,MISSING,4,2017-01-10 17:15:32+00:00
31,request for payment 76195,Permit SUBMITTED by EMPLOYEE,2017-01-11 12:36:23+00:00,EMPLOYEE,0,2017-01-11 12:36:23+00:00
32,request for payment 76195,Permit FINAL_APPROVED by SUPERVISOR,2017-01-11 12:36:25+00:00,SUPERVISOR,1,2017-01-11 12:36:23+00:00
33,request for payment 76195,Request For Payment SUBMITTED by EMPLOYEE,2017-01-17 17:19:43+00:00,EMPLOYEE,2,2017-01-11 12:36:25+00:00
34,request for payment 76195,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 17:19:57+00:00,SUPERVISOR,3,2017-01-17 17:19:43+00:00
35,request for payment 76195,Request Payment,2017-01-23 10:27:26+00:00,UNDEFINED,6,2017-01-17 17:19:57+00:00
36,request for payment 76195,Payment Handled,2017-01-26 17:30:47+00:00,UNDEFINED,7,2017-01-23 10:27:26+00:00
37,request for payment 73737,Permit SUBMITTED by EMPLOYEE,2017-01-11 13:30:51+00:00,EMPLOYEE,0,2017-01-11 13:30:51+00:00
38,request for payment 73737,Permit FINAL_APPROVED by SUPERVISOR,2017-01-11 13:30:57+00:00,SUPERVISOR,1,2017-01-11 13:30:51+00:00
39,request for payment 73737,Request For Payment SUBMITTED by EMPLOYEE,2017-04-06 16:05:59+00:00,EMPLOYEE,2,2017-01-11 13:30:57+00:00
40,request for payment 73737,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-04-06 16:07:49+00:00,SUPERVISOR,3,2017-04-06 16:05:59+00:00
41,request for payment 73737,Request Payment,2017-04-10 16:14:41+00:00,UNDEFINED,6,2017-04-06 16:07:49+00:00
42,request for payment 73737,Payment Handled,2017-04-13 17:30:56+00:00,UNDEFINED,7,2017-04-10 16:14:41+00:00
43,request for payment 77107,Permit SUBMITTED by EMPLOYEE,2017-01-11 13:48:46+00:00,EMPLOYEE,0,2017-01-11 13:48:46+00:00
44,request for payment 77107,Permit FINAL_APPROVED by SUPERVISOR,2017-01-11 13:48:57+00:00,SUPERVISOR,1,2017-01-11 13:48:46+00:00
45,request for payment 77107,Request For Payment SUBMITTED by EMPLOYEE,2017-04-06 15:53:45+00:00,EMPLOYEE,2,2017-01-11 13:48:57+00:00
46,request for payment 77107,Request For Payment APPROVED by PRE_APPROVER,2017-04-06 16:19:05+00:00,PRE_APPROVER,10,2017-04-06 15:53:45+00:00
47,request for payment 77107,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-04-11 17:25:08+00:00,SUPERVISOR,3,2017-04-06 16:19:05+00:00
48,request for payment 77107,Request Payment,2017-04-19 12:01:05+00:00,UNDEFINED,6,2017-04-11 17:25:08+00:00
49,request for payment 77107,Payment Handled,2017-04-24 17:31:11+00:00,UNDEFINED,7,2017-04-19 12:01:05+00:00
50,request for payment 185391,Request For Payment SUBMITTED by EMPLOYEE,2017-01-11 14:20:06+00:00,EMPLOYEE,2,2017-01-11 14:20:06+00:00
51,request for payment 185391,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-11 14:20:52+00:00,SUPERVISOR,3,2017-01-11 14:20:06+00:00
52,request for payment 185391,Request Payment,2017-01-25 11:31:55+00:00,UNDEFINED,6,2017-01-11 14:20:52+00:00
53,request for payment 185391,Payment Handled,2017-01-30 17:31:40+00:00,UNDEFINED,7,2017-01-25 11:31:55+00:00
54,request for payment 76211,Permit SUBMITTED by EMPLOYEE,2017-01-11 17:25:24+00:00,EMPLOYEE,0,2017-01-11 17:25:24+00:00
55,request for payment 76211,Permit APPROVED by SUPERVISOR,2017-01-11 17:25:37+00:00,SUPERVISOR,8,2017-01-11 17:25:24+00:00
56,request for payment 76211,Permit FINAL_APPROVED by DIRECTOR,2017-01-12 10:56:40+00:00,DIRECTOR,9,2017-01-11 17:25:37+00:00
57,request for payment 76211,Request For Payment SUBMITTED by EMPLOYEE,2017-03-27 15:44:15+00:00,EMPLOYEE,2,2017-01-12 10:56:40+00:00
58,request for payment 76211,Request For Payment APPROVED by PRE_APPROVER,2017-03-27 15:44:23+00:00,PRE_APPROVER,10,2017-03-27 15:44:15+00:00
59,request for payment 76211,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-29 10:29:46+00:00,SUPERVISOR,3,2017-03-27 15:44:23+00:00
60,request for payment 76211,Request Payment,2017-04-03 15:15:36+00:00,UNDEFINED,6,2017-03-29 10:29:46+00:00
61,request for payment 76211,Payment Handled,2017-04-06 17:31:01+00:00,UNDEFINED,7,2017-04-03 15:15:36+00:00
62,request for payment 76213,Permit SUBMITTED by EMPLOYEE,2017-01-11 17:25:24+00:00,EMPLOYEE,0,2017-01-11 17:25:24+00:00
63,request for payment 76213,Permit APPROVED by SUPERVISOR,2017-01-11 17:25:37+00:00,SUPERVISOR,8,2017-01-11 17:25:24+00:00
